[ 00:00:02.050 -->  00:00:20.005] A SPEAKER_00
[ 00:00:20.005 -->  00:00:25.439] G SPEAKER_02
[ 00:00:25.439 -->  00:00:33.302] B SPEAKER_00
[ 00:00:33.117 -->  00:00:38.837] D SPEAKER_01
[ 00:00:38.837 -->  00:00:53.097] C SPEAKER_00
[ 00:00:53.097 -->  00:00:56.202] H SPEAKER_02
[ 00:00:55.223 -->  00:00:57.383] E SPEAKER_01
[ 00:00:57.974 -->  00:00:58.952] F SPEAKER_01
[ 00:00:58.058 -->  00:00:58.851] I SPEAKER_02
