[ 00:00:02.691 -->  00:00:06.775] A SPEAKER_00
[ 00:00:18.824 -->  00:00:19.583] B SPEAKER_00
[ 00:00:20.241 -->  00:00:25.320] C SPEAKER_00
[ 00:00:26.400 -->  00:00:45.132] D SPEAKER_00
[ 00:00:46.515 -->  00:01:28.180] E SPEAKER_00
[ 00:01:29.513 -->  00:01:47.654] F SPEAKER_00
[ 00:01:49.155 -->  00:01:57.374] G SPEAKER_00
[ 00:01:58.015 -->  00:02:03.634] H SPEAKER_00
[ 00:02:05.524 -->  00:02:06.638] I SPEAKER_00
